"seg.id","dist2rd","slope","ndvi","dt","id","date","state","lunar"
213,0.947105056836285,1.80138916564729,0.381128393941368,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,2.91868772074768,0.991091298485135,0.35340511305953,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,6.1075825536955,1.4284828670718,0.423982028373143,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,0.769633734709915,1.02501329319621,0.377384793699201,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,1.24469255672884,1.47991497748074,0.437540952108171,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,0,1.57435592589066,0.368818153276987,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,0,1.17875444838681,0.412983779347882,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,4.04843582730899,1.22858060204883,0.450214667699841,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,0.745766303356564,1.34970416718813,0.430372231525864,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,4.89779322990044,1.85058873556202,0.470474643038007,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,3.80033629179212,2.53027133422684,0.435213117326897,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,1.70885941249334,2.0847957238663,0.46298445498806,NA,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
213,13.4450429864423,1.12703264858694,0.405475202469186,180,"tm13","2015-07-05 18:30:00","Transit",0.805587033999698
214,13.4450429864423,1.12703264858694,0.405475202469186,NA,"tm13","2015-07-05 18:33:00","Transit",0.805587033999698
214,3.80562916812369,1.76535206071508,0.437919589631207,NA,"tm13","2015-07-05 18:33:00","Transit",0.805587033999698
214,0.750211702139226,3.61739089530824,0.440923215124884,NA,"tm13","2015-07-05 18:33:00","Transit",0.805587033999698
214,13.829247681721,3.91522848865716,0.390475440706099,NA,"tm13","2015-07-05 18:33:00","Transit",0.805587033999698
214,0.527953857522648,5.16986330879262,0.438803329186885,300,"tm13","2015-07-05 18:33:00","Transit",0.805587033999698
215,0.527953857522648,5.16986330879262,0.438803329186885,NA,"tm13","2015-07-05 18:38:00","Transit",0.805587033999698
215,3.91550895277895,4.80760384655914,0.469343850169784,NA,"tm13","2015-07-05 18:38:00","Transit",0.805587033999698
215,0,3.7021655416313,0.407776880338231,NA,"tm13","2015-07-05 18:38:00","Transit",0.805587033999698
215,3.3868864740843,4.20707906582737,0.39741178042319,NA,"tm13","2015-07-05 18:38:00","Transit",0.805587033999698
215,1.62685485714319,2.59494407106667,0.405384946896467,NA,"tm13","2015-07-05 18:38:00","Transit",0.805587033999698
215,1.7139262617276,2.38015211278383,0.368183446186204,NA,"tm13","2015-07-05 18:38:00","Transit",0.805587033999698
215,14.4197278853907,3.15836880348587,0.374792240761631,300,"tm13","2015-07-05 18:38:00","Transit",0.805587033999698
216,14.4197278853907,3.15836880348587,0.374792240761631,NA,"tm13","2015-07-05 18:43:00","Transit",0.805587033999698
216,5.67658262410017,2.59048162887451,0.376370526394449,NA,"tm13","2015-07-05 18:43:00","Transit",0.805587033999698
216,0,1.29773214404567,0.316500586621806,NA,"tm13","2015-07-05 18:43:00","Transit",0.805587033999698
216,0,1.60136159886954,0.348440918432446,NA,"tm13","2015-07-05 18:43:00","Transit",0.805587033999698
216,7.02372007698814,1.284690239181,0.338107744281584,300,"tm13","2015-07-05 18:43:00","Transit",0.805587033999698
226,12.8688676754642,1.57874781896356,0.372984958284318,NA,"tm13","2015-07-05 19:41:00","Transit",0.805587033999698
226,3.89799190863379,1.59388537044808,0.374075344718108,NA,"tm13","2015-07-05 19:41:00","Transit",0.805587033999698
226,29.2041177040143,1.35147565089365,0.381484147426226,NA,"tm13","2015-07-05 19:41:00","Transit",0.805587033999698
226,17.9752367144958,1.16014315151443,0.368443950527735,NA,"tm13","2015-07-05 19:41:00","Transit",0.805587033999698
226,6.23233863009423,1.45617768619357,0.364022515457383,900,"tm13","2015-07-05 19:41:00","Transit",0.805587033999698
227,6.23233863009423,1.45617768619357,0.364022515457383,NA,"tm13","2015-07-05 19:56:00","Transit",0.805587033999698
227,2.61873602451239,1.41394409534325,0.369620585467106,300,"tm13","2015-07-05 19:56:00","Transit",0.805587033999698
234,28.3895409700158,1.22863084768274,0.389190549322788,NA,"tm13","2015-07-05 20:30:00","Transit",0.805587033999698
234,21.7316383202362,0.784332537595812,0.393697263395808,300,"tm13","2015-07-05 20:30:00","Transit",0.805587033999698
235,21.7316383202362,0.784332537595812,0.393697263395808,NA,"tm13","2015-07-05 20:35:00","Transit",0.805587033999698
235,12.6709941756776,1.82193671662626,0.396493213438161,NA,"tm13","2015-07-05 20:35:00","Transit",0.805587033999698
235,3.79694990483603,1.84639881687041,0.3970721608213,NA,"tm13","2015-07-05 20:35:00","Transit",0.805587033999698
235,0,1.01348735420043,0.388480357962158,960,"tm13","2015-07-05 20:35:00","Transit",0.805587033999698
268,8.25994914505799,1.04315780210799,0.399846962183704,NA,"tm13","2015-07-05 23:50:00","Transit",0.805587033999698
268,16.7475702609642,1.42044377154921,0.397791862648102,NA,"tm13","2015-07-05 23:50:00","Transit",0.805587033999698
268,0,1.01348735420043,0.388480357962158,NA,"tm13","2015-07-05 23:50:00","Transit",0.805587033999698
268,3.79694990483603,1.84639881687041,0.3970721608213,NA,"tm13","2015-07-05 23:50:00","Transit",0.805587033999698
