"seg.id","evi","dt","id","date","state"
9,0.444111204042441,NA,"emanuel",2019-05-20 18:59:52,"Unclassified"
9,0.537698941922863,82619,"emanuel",2019-05-20 18:59:52,"Unclassified"
10,0.537698941922863,NA,"emanuel",2019-05-21 17:56:51,"Exploratory"
10,0.91160721152522,NA,"emanuel",2019-05-21 17:56:51,"Exploratory"
10,0.51379723575718,NA,"emanuel",2019-05-21 17:56:51,"Exploratory"
10,0.27102075505418,NA,"emanuel",2019-05-21 17:56:51,"Exploratory"
10,0.446320457001366,NA,"emanuel",2019-05-21 17:56:51,"Exploratory"
10,0.529050017944907,NA,"emanuel",2019-05-21 17:56:51,"Exploratory"
10,0.563089763558979,NA,"emanuel",2019-05-21 17:56:51,"Exploratory"
10,0.174412440485914,2941,"emanuel",2019-05-21 17:56:51,"Exploratory"
11,0.174412440485914,NA,"emanuel",2019-05-21 18:45:52,"Exploratory"
11,0.563089763558979,388,"emanuel",2019-05-21 18:45:52,"Exploratory"
12,0.563089763558979,NA,"emanuel",2019-05-21 18:52:20,"Unclassified"
12,0.302618735785734,NA,"emanuel",2019-05-21 18:52:20,"Unclassified"
12,0.110272662465918,NA,"emanuel",2019-05-21 18:52:20,"Unclassified"
12,0.433353305991042,NA,"emanuel",2019-05-21 18:52:20,"Unclassified"
12,0.350968745979939,NA,"emanuel",2019-05-21 18:52:20,"Unclassified"
12,0.541952741070258,1273,"emanuel",2019-05-21 18:52:20,"Unclassified"
13,0.541952741070258,NA,"emanuel",2019-05-21 19:13:33,"Unclassified"
13,0.899998761476229,1291,"emanuel",2019-05-21 19:13:33,"Unclassified"
14,0.899998761476229,NA,"emanuel",2019-05-21 19:35:04,"Exploratory"
14,0.541952741070258,399,"emanuel",2019-05-21 19:35:04,"Exploratory"
15,0.541952741070258,NA,"emanuel",2019-05-21 19:41:43,"Slow-Unif"
15,0.307565394486451,NA,"emanuel",2019-05-21 19:41:43,"Slow-Unif"
15,0.91160721152522,413,"emanuel",2019-05-21 19:41:43,"Slow-Unif"
16,0.91160721152522,NA,"emanuel",2019-05-21 19:48:36,"Unclassified"
16,0.51379723575718,NA,"emanuel",2019-05-21 19:48:36,"Unclassified"
16,0.531811584143563,448,"emanuel",2019-05-21 19:48:36,"Unclassified"
17,0.531811584143563,NA,"emanuel",2019-05-21 19:56:04,"Slow-Unif"
17,0.403509686175718,NA,"emanuel",2019-05-21 19:56:04,"Slow-Unif"
17,0.530989089450718,NA,"emanuel",2019-05-21 19:56:04,"Slow-Unif"
17,0.40981270772904,417,"emanuel",2019-05-21 19:56:04,"Slow-Unif"
18,0.40981270772904,NA,"emanuel",2019-05-21 20:03:01,"Exploratory"
