"id","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","alt","nada","InBurrow","region","log.SL","logit.TA","z"
"tm13",373218.961,8211878.672,"2015-07-05 18:43:00",7.13699999998789,97.5149999996647,97.7758252020122,300,158248.491794448,1.49773784893181,-0.55131481687409,208.3,0,0,"N",4.58267736041176,-1.54721442032359,4
"tm13",373228.36,8212010.277,"2015-07-05 19:12:00",-41.0059999999939,-27.6749999998137,49.4711801050793,600,262789.475780164,-2.54791084127984,0.745389004162391,237.5,0,0,"N",3.9013902799193,-1.16773471586771,4
"tm13",373314.053,8212280.622,"2015-07-05 20:35:00",4.7729999999865,25.3639999991283,25.80918489522,300,568719.579699238,1.38479145769617,-0.674446835677106,222.4,0,0,"N",3.25073043226399,-1.29692436996907,4
"tm13",373318.826,8212305.986,"2015-07-05 20:40:00",8.16899999999441,66.7630000002682,67.2609153226131,600,606305.125528935,1.44904333680294,0.0642518791067737,220.83,0,0,"N",4.2085793149411,-3.8690101479824,4
"tm13",373326.995,8212372.749,"2015-07-05 20:50:00",30.4328000000096,35.3760000001639,46.6649407141184,240,712375.42996138,0.860371943603193,-0.588671393199748,239.02,0,0,"N",3.84299314855978,-1.46712545309044,4
"tm13",373319.14,8212325.571,"2015-07-06 00:13:00",7.53599999996368,28.3679999997839,29.3519116922083,300,636885.239241347,1.31114200175955,-0.110734375411079,225.1,0,0,"N",3.37935767847011,-3.30946679935495,4
"tm13",373326.676,8212353.939,"2015-07-06 00:18:00",31.2547999999952,56.5879999995232,64.6456825084687,300,681214.387401048,1.06617210239442,-0.244969899365122,235.27,0,0,"N",4.16892132044286,-2.47016542656751,4
"tm13",373485.986,8212243.994,"2015-07-06 18:18:00",-44.2129999999888,-28.0250000003725,52.346824106338,300,509585.88282547,-2.57664507216848,-0.156701127782259,216.6,0,0,"N",3.95789126893066,-2.94697833898848,4
"tm13",373441.773,8212215.969,"2015-07-06 18:23:00",-20.1630000000005,-45.1459999997169,49.4439873490645,300,466379.003808947,-1.99083392266662,0.585811149501861,220.02,0,0,"N",3.90084046016163,-1.47311586114774,4
"tm13",373232.136,8212060.087,"2015-07-06 20:24:00",-20.5869999999995,28.5369999995455,35.1878521364127,300,311357.858184724,2.1957501990467,0.252511424877261,218.01,0,0,"N",3.56070091327897,-2.43723732189037,4
"tm13",373236.902,8212012.429,"2015-07-06 21:27:00",-45.335000000021,18.4370000008494,48.9406292770457,300,261701.037375937,2.7553378831353,-0.350418225873681,222.81,0,0,"N",3.8906079160652,-2.07509035588877,4
